judul,abstrak,tahun,id,abstract_clean,methods_extracted,title_clean,topic_label_id
Clustering Persebaran UMKM Menggunakan Metode DBSCAN pada UMKM lokal,"Penelitian ini bertujuan untuk melakukan clustering persebaran umkm dengan menggunakan metode DBSCAN. Studi kasus dilakukan pada UMKM lokal. Metode DBSCAN dipilih karena mampu memberikan performa yang baik dalam menangani data berukuran besar dan kompleks. Tahapan penelitian meliputi pengumpulan data, pembersihan data, pemodelan, pengujian, dan evaluasi. Hasil pengujian menunjukkan bahwa metode DBSCAN memberikan akurasi dan efisiensi yang memadai untuk clustering persebaran umkm.",2018,78,penelitian ini bertujuan untuk melakukan clustering persebaran umkm dengan menggunakan metode dbscan. studi kasus dilakukan pada umkm lokal. metode dbscan dipilih karena mampu memberikan performa yang baik dalam menangani data berukuran besar dan kompleks. tahapan penelitian meliputi pengumpulan data pembersihan data pemodelan pengujian dan evaluasi. hasil pengujian menunjukkan bahwa metode dbscan memberikan akurasi dan efisiensi yang memadai untuk clustering persebaran umkm.,,clustering persebaran umkm menggunakan metode dbscan pada umkm lokal,4
Rancang Bangun Sistem Peminjaman Barang Menggunakan Metode RNN di Kabupaten Kolaka Timur,"Penelitian ini bertujuan untuk melakukan rancang bangun sistem peminjaman barang dengan menggunakan metode RNN. Studi kasus dilakukan di Kabupaten Kolaka Timur. Metode RNN dipilih karena mampu memberikan performa yang baik dalam menangani data berukuran besar dan kompleks. Tahapan penelitian meliputi pengumpulan data, pembersihan data, pemodelan, pengujian, dan evaluasi. Hasil pengujian menunjukkan bahwa metode RNN memberikan akurasi dan efisiensi yang memadai untuk rancang bangun sistem peminjaman barang.",2015,79,penelitian ini bertujuan untuk melakukan rancang bangun sistem peminjaman barang dengan menggunakan metode rnn. studi kasus dilakukan di kabupaten kolaka timur. metode rnn dipilih karena mampu memberikan performa yang baik dalam menangani data berukuran besar dan kompleks. tahapan penelitian meliputi pengumpulan data pembersihan data pemodelan pengujian dan evaluasi. hasil pengujian menunjukkan bahwa metode rnn memberikan akurasi dan efisiensi yang memadai untuk rancang bangun sistem peminjaman barang.,rnn,rancang bangun sistem peminjaman barang menggunakan metode rnn di kabupaten kolaka timur,1
Rancang Bangun Sistem Informasi Akademik Menggunakan Metode DBSCAN di Lingkungan Pemerintah Daerah,"Penelitian ini bertujuan untuk melakukan rancang bangun sistem informasi akademik dengan menggunakan metode DBSCAN. Studi kasus dilakukan di Lingkungan Pemerintah Daerah. Metode DBSCAN dipilih karena mampu memberikan performa yang baik dalam menangani data berukuran besar dan kompleks. Tahapan penelitian meliputi pengumpulan data, pembersihan data, pemodelan, pengujian, dan evaluasi. Hasil pengujian menunjukkan bahwa metode DBSCAN memberikan akurasi dan efisiensi yang memadai untuk rancang bangun sistem informasi akademik.",2015,80,penelitian ini bertujuan untuk melakukan rancang bangun sistem informasi akademik dengan menggunakan metode dbscan. studi kasus dilakukan di lingkungan pemerintah daerah. metode dbscan dipilih karena mampu memberikan performa yang baik dalam menangani data berukuran besar dan kompleks. tahapan penelitian meliputi pengumpulan data pembersihan data pemodelan pengujian dan evaluasi. hasil pengujian menunjukkan bahwa metode dbscan memberikan akurasi dan efisiensi yang memadai untuk rancang bangun sistem informasi akademik.,,rancang bangun sistem informasi akademik menggunakan metode dbscan di lingkungan pemerintah daerah,1
Identifikasi Tanaman Pangan Menggunakan Metode SVM menggunakan Data BMKG,"Penelitian ini bertujuan untuk melakukan identifikasi tanaman pangan dengan menggunakan metode SVM. Studi kasus dilakukan menggunakan Data BMKG. Metode SVM dipilih karena mampu memberikan performa yang baik dalam menangani data berukuran besar dan kompleks. Tahapan penelitian meliputi pengumpulan data, pembersihan data, pemodelan, pengujian, dan evaluasi. Hasil pengujian menunjukkan bahwa metode SVM memberikan akurasi dan efisiensi yang memadai untuk identifikasi tanaman pangan.",2018,81,penelitian ini bertujuan untuk melakukan identifikasi tanaman pangan dengan menggunakan metode svm. studi kasus dilakukan menggunakan data bmkg. metode svm dipilih karena mampu memberikan performa yang baik dalam menangani data berukuran besar dan kompleks. tahapan penelitian meliputi pengumpulan data pembersihan data pemodelan pengujian dan evaluasi. hasil pengujian menunjukkan bahwa metode svm memberikan akurasi dan efisiensi yang memadai untuk identifikasi tanaman pangan.,svm,identifikasi tanaman pangan menggunakan metode svm menggunakan data bmkg,4
Clusterisasi Data Wisatawan Menggunakan Metode Random Forest di Kabupaten Kolaka Timur,"Penelitian ini bertujuan untuk melakukan clusterisasi data wisatawan dengan menggunakan metode Random Forest. Studi kasus dilakukan di Kabupaten Kolaka Timur. Metode Random Forest dipilih karena mampu memberikan performa yang baik dalam menangani data berukuran besar dan kompleks. Tahapan penelitian meliputi pengumpulan data, pembersihan data, pemodelan, pengujian, dan evaluasi. Hasil pengujian menunjukkan bahwa metode Random Forest memberikan akurasi dan efisiensi yang memadai untuk clusterisasi data wisatawan.",2018,82,penelitian ini bertujuan untuk melakukan clusterisasi data wisatawan dengan menggunakan metode random forest. studi kasus dilakukan di kabupaten kolaka timur. metode random forest dipilih karena mampu memberikan performa yang baik dalam menangani data berukuran besar dan kompleks. tahapan penelitian meliputi pengumpulan data pembersihan data pemodelan pengujian dan evaluasi. hasil pengujian menunjukkan bahwa metode random forest memberikan akurasi dan efisiensi yang memadai untuk clusterisasi data wisatawan.,,clusterisasi data wisatawan menggunakan metode random forest di kabupaten kolaka timur,2
Klasifikasi Sampah Organik/Anorganik Menggunakan Metode Decision Tree pada Mahasiswa Universitas Halu Oleo,"Penelitian ini bertujuan untuk melakukan klasifikasi sampah organik/anorganik dengan menggunakan metode Decision Tree. Studi kasus dilakukan pada Mahasiswa Universitas Halu Oleo. Metode Decision Tree dipilih karena mampu memberikan performa yang baik dalam menangani data berukuran besar dan kompleks. Tahapan penelitian meliputi pengumpulan data, pembersihan data, pemodelan, pengujian, dan evaluasi. Hasil pengujian menunjukkan bahwa metode Decision Tree memberikan akurasi dan efisiensi yang memadai untuk klasifikasi sampah organik/anorganik.",2020,83,penelitian ini bertujuan untuk melakukan klasifikasi sampah organik anorganik dengan menggunakan metode decision tree. studi kasus dilakukan pada mahasiswa universitas halu oleo. metode decision tree dipilih karena mampu memberikan performa yang baik dalam menangani data berukuran besar dan kompleks. tahapan penelitian meliputi pengumpulan data pembersihan data pemodelan pengujian dan evaluasi. hasil pengujian menunjukkan bahwa metode decision tree memberikan akurasi dan efisiensi yang memadai untuk klasifikasi sampah organik anorganik.,,klasifikasi sampah organik anorganik menggunakan metode decision tree pada mahasiswa universitas halu oleo,0
Clustering Persebaran UMKM Menggunakan Metode ARIMA pada Mahasiswa Universitas Halu Oleo,"Penelitian ini bertujuan untuk melakukan clustering persebaran umkm dengan menggunakan metode ARIMA. Studi kasus dilakukan pada Mahasiswa Universitas Halu Oleo. Metode ARIMA dipilih karena mampu memberikan performa yang baik dalam menangani data berukuran besar dan kompleks. Tahapan penelitian meliputi pengumpulan data, pembersihan data, pemodelan, pengujian, dan evaluasi. Hasil pengujian menunjukkan bahwa metode ARIMA memberikan akurasi dan efisiensi yang memadai untuk clustering persebaran umkm.",2016,84,penelitian ini bertujuan untuk melakukan clustering persebaran umkm dengan menggunakan metode arima. studi kasus dilakukan pada mahasiswa universitas halu oleo. metode arima dipilih karena mampu memberikan performa yang baik dalam menangani data berukuran besar dan kompleks. tahapan penelitian meliputi pengumpulan data pembersihan data pemodelan pengujian dan evaluasi. hasil pengujian menunjukkan bahwa metode arima memberikan akurasi dan efisiensi yang memadai untuk clustering persebaran umkm.,,clustering persebaran umkm menggunakan metode arima pada mahasiswa universitas halu oleo,4
Rekomendasi Judul Tugas Akhir Menggunakan Metode DBSCAN pada Dataset Kesehatan Nasional,"Penelitian ini bertujuan untuk melakukan rekomendasi judul tugas akhir dengan menggunakan metode DBSCAN. Studi kasus dilakukan pada Dataset Kesehatan Nasional. Metode DBSCAN dipilih karena mampu memberikan performa yang baik dalam menangani data berukuran besar dan kompleks. Tahapan penelitian meliputi pengumpulan data, pembersihan data, pemodelan, pengujian, dan evaluasi. Hasil pengujian menunjukkan bahwa metode DBSCAN memberikan akurasi dan efisiensi yang memadai untuk rekomendasi judul tugas akhir.",2017,85,penelitian ini bertujuan untuk melakukan rekomendasi judul tugas akhir dengan menggunakan metode dbscan. studi kasus dilakukan pada dataset kesehatan nasional. metode dbscan dipilih karena mampu memberikan performa yang baik dalam menangani data berukuran besar dan kompleks. tahapan penelitian meliputi pengumpulan data pembersihan data pemodelan pengujian dan evaluasi. hasil pengujian menunjukkan bahwa metode dbscan memberikan akurasi dan efisiensi yang memadai untuk rekomendasi judul tugas akhir.,,rekomendasi judul tugas akhir menggunakan metode dbscan pada dataset kesehatan nasional,2
Clustering Persebaran UMKM Menggunakan Metode LSTM di Kabupaten Kolaka Timur,"Penelitian ini bertujuan untuk melakukan clustering persebaran umkm dengan menggunakan metode LSTM. Studi kasus dilakukan di Kabupaten Kolaka Timur. Metode LSTM dipilih karena mampu memberikan performa yang baik dalam menangani data berukuran besar dan kompleks. Tahapan penelitian meliputi pengumpulan data, pembersihan data, pemodelan, pengujian, dan evaluasi. Hasil pengujian menunjukkan bahwa metode LSTM memberikan akurasi dan efisiensi yang memadai untuk clustering persebaran umkm.",2016,86,penelitian ini bertujuan untuk melakukan clustering persebaran umkm dengan menggunakan metode lstm. studi kasus dilakukan di kabupaten kolaka timur. metode lstm dipilih karena mampu memberikan performa yang baik dalam menangani data berukuran besar dan kompleks. tahapan penelitian meliputi pengumpulan data pembersihan data pemodelan pengujian dan evaluasi. hasil pengujian menunjukkan bahwa metode lstm memberikan akurasi dan efisiensi yang memadai untuk clustering persebaran umkm.,lstm,clustering persebaran umkm menggunakan metode lstm di kabupaten kolaka timur,4
Identifikasi Tanaman Pangan Menggunakan Metode Random Forest di Lingkungan Pemerintah Daerah,"Penelitian ini bertujuan untuk melakukan identifikasi tanaman pangan dengan menggunakan metode Random Forest. Studi kasus dilakukan di Lingkungan Pemerintah Daerah. Metode Random Forest dipilih karena mampu memberikan performa yang baik dalam menangani data berukuran besar dan kompleks. Tahapan penelitian meliputi pengumpulan data, pembersihan data, pemodelan, pengujian, dan evaluasi. Hasil pengujian menunjukkan bahwa metode Random Forest memberikan akurasi dan efisiensi yang memadai untuk identifikasi tanaman pangan.",2024,87,penelitian ini bertujuan untuk melakukan identifikasi tanaman pangan dengan menggunakan metode random forest. studi kasus dilakukan di lingkungan pemerintah daerah. metode random forest dipilih karena mampu memberikan performa yang baik dalam menangani data berukuran besar dan kompleks. tahapan penelitian meliputi pengumpulan data pembersihan data pemodelan pengujian dan evaluasi. hasil pengujian menunjukkan bahwa metode random forest memberikan akurasi dan efisiensi yang memadai untuk identifikasi tanaman pangan.,,identifikasi tanaman pangan menggunakan metode random forest di lingkungan pemerintah daerah,4
Prediksi Harga Tanaman Holtikultura Menggunakan Metode LSTM pada Dataset Kesehatan Nasional,"Penelitian ini bertujuan untuk melakukan prediksi harga tanaman holtikultura dengan menggunakan metode LSTM. Studi kasus dilakukan pada Dataset Kesehatan Nasional. Metode LSTM dipilih karena mampu memberikan performa yang baik dalam menangani data berukuran besar dan kompleks. Tahapan penelitian meliputi pengumpulan data, pembersihan data, pemodelan, pengujian, dan evaluasi. Hasil pengujian menunjukkan bahwa metode LSTM memberikan akurasi dan efisiensi yang memadai untuk prediksi harga tanaman holtikultura.",2016,88,penelitian ini bertujuan untuk melakukan prediksi harga tanaman holtikultura dengan menggunakan metode lstm. studi kasus dilakukan pada dataset kesehatan nasional. metode lstm dipilih karena mampu memberikan performa yang baik dalam menangani data berukuran besar dan kompleks. tahapan penelitian meliputi pengumpulan data pembersihan data pemodelan pengujian dan evaluasi. hasil pengujian menunjukkan bahwa metode lstm memberikan akurasi dan efisiensi yang memadai untuk prediksi harga tanaman holtikultura.,lstm,prediksi harga tanaman holtikultura menggunakan metode lstm pada dataset kesehatan nasional,0
Klasifikasi Jenis Daun Obat Menggunakan Metode K-Means pada Mahasiswa Universitas Halu Oleo,"Penelitian ini bertujuan untuk melakukan klasifikasi jenis daun obat dengan menggunakan metode K-Means. Studi kasus dilakukan pada Mahasiswa Universitas Halu Oleo. Metode K-Means dipilih karena mampu memberikan performa yang baik dalam menangani data berukuran besar dan kompleks. Tahapan penelitian meliputi pengumpulan data, pembersihan data, pemodelan, pengujian, dan evaluasi. Hasil pengujian menunjukkan bahwa metode K-Means memberikan akurasi dan efisiensi yang memadai untuk klasifikasi jenis daun obat.",2024,89,penelitian ini bertujuan untuk melakukan klasifikasi jenis daun obat dengan menggunakan metode k means. studi kasus dilakukan pada mahasiswa universitas halu oleo. metode k means dipilih karena mampu memberikan performa yang baik dalam menangani data berukuran besar dan kompleks. tahapan penelitian meliputi pengumpulan data pembersihan data pemodelan pengujian dan evaluasi. hasil pengujian menunjukkan bahwa metode k means memberikan akurasi dan efisiensi yang memadai untuk klasifikasi jenis daun obat.,k-means,klasifikasi jenis daun obat menggunakan metode k means pada mahasiswa universitas halu oleo,0
Analisis Trafik Jaringan Menggunakan Metode DBSCAN di Kota Kendari,"Penelitian ini bertujuan untuk melakukan analisis trafik jaringan dengan menggunakan metode DBSCAN. Studi kasus dilakukan di Kota Kendari. Metode DBSCAN dipilih karena mampu memberikan performa yang baik dalam menangani data berukuran besar dan kompleks. Tahapan penelitian meliputi pengumpulan data, pembersihan data, pemodelan, pengujian, dan evaluasi. Hasil pengujian menunjukkan bahwa metode DBSCAN memberikan akurasi dan efisiensi yang memadai untuk analisis trafik jaringan.",2021,90,penelitian ini bertujuan untuk melakukan analisis trafik jaringan dengan menggunakan metode dbscan. studi kasus dilakukan di kota kendari. metode dbscan dipilih karena mampu memberikan performa yang baik dalam menangani data berukuran besar dan kompleks. tahapan penelitian meliputi pengumpulan data pembersihan data pemodelan pengujian dan evaluasi. hasil pengujian menunjukkan bahwa metode dbscan memberikan akurasi dan efisiensi yang memadai untuk analisis trafik jaringan.,,analisis trafik jaringan menggunakan metode dbscan di kota kendari,3
Prediksi Harga Emas Menggunakan Metode Autoencoder di sektor pertanian,"Penelitian ini bertujuan untuk melakukan prediksi harga emas dengan menggunakan metode Autoencoder. Studi kasus dilakukan di sektor pertanian. Metode Autoencoder dipilih karena mampu memberikan performa yang baik dalam menangani data berukuran besar dan kompleks. Tahapan penelitian meliputi pengumpulan data, pembersihan data, pemodelan, pengujian, dan evaluasi. Hasil pengujian menunjukkan bahwa metode Autoencoder memberikan akurasi dan efisiensi yang memadai untuk prediksi harga emas.",2020,91,penelitian ini bertujuan untuk melakukan prediksi harga emas dengan menggunakan metode autoencoder. studi kasus dilakukan di sektor pertanian. metode autoencoder dipilih karena mampu memberikan performa yang baik dalam menangani data berukuran besar dan kompleks. tahapan penelitian meliputi pengumpulan data pembersihan data pemodelan pengujian dan evaluasi. hasil pengujian menunjukkan bahwa metode autoencoder memberikan akurasi dan efisiensi yang memadai untuk prediksi harga emas.,,prediksi harga emas menggunakan metode autoencoder di sektor pertanian,0
Identifikasi Tanaman Pangan Menggunakan Metode Autoencoder pada Mahasiswa Universitas Halu Oleo,"Penelitian ini bertujuan untuk melakukan identifikasi tanaman pangan dengan menggunakan metode Autoencoder. Studi kasus dilakukan pada Mahasiswa Universitas Halu Oleo. Metode Autoencoder dipilih karena mampu memberikan performa yang baik dalam menangani data berukuran besar dan kompleks. Tahapan penelitian meliputi pengumpulan data, pembersihan data, pemodelan, pengujian, dan evaluasi. Hasil pengujian menunjukkan bahwa metode Autoencoder memberikan akurasi dan efisiensi yang memadai untuk identifikasi tanaman pangan.",2015,92,penelitian ini bertujuan untuk melakukan identifikasi tanaman pangan dengan menggunakan metode autoencoder. studi kasus dilakukan pada mahasiswa universitas halu oleo. metode autoencoder dipilih karena mampu memberikan performa yang baik dalam menangani data berukuran besar dan kompleks. tahapan penelitian meliputi pengumpulan data pembersihan data pemodelan pengujian dan evaluasi. hasil pengujian menunjukkan bahwa metode autoencoder memberikan akurasi dan efisiensi yang memadai untuk identifikasi tanaman pangan.,,identifikasi tanaman pangan menggunakan metode autoencoder pada mahasiswa universitas halu oleo,4
Prediksi Harga Tanaman Holtikultura Menggunakan Metode Random Forest pada UMKM lokal,"Penelitian ini bertujuan untuk melakukan prediksi harga tanaman holtikultura dengan menggunakan metode Random Forest. Studi kasus dilakukan pada UMKM lokal. Metode Random Forest dipilih karena mampu memberikan performa yang baik dalam menangani data berukuran besar dan kompleks. Tahapan penelitian meliputi pengumpulan data, pembersihan data, pemodelan, pengujian, dan evaluasi. Hasil pengujian menunjukkan bahwa metode Random Forest memberikan akurasi dan efisiensi yang memadai untuk prediksi harga tanaman holtikultura.",2018,93,penelitian ini bertujuan untuk melakukan prediksi harga tanaman holtikultura dengan menggunakan metode random forest. studi kasus dilakukan pada umkm lokal. metode random forest dipilih karena mampu memberikan performa yang baik dalam menangani data berukuran besar dan kompleks. tahapan penelitian meliputi pengumpulan data pembersihan data pemodelan pengujian dan evaluasi. hasil pengujian menunjukkan bahwa metode random forest memberikan akurasi dan efisiensi yang memadai untuk prediksi harga tanaman holtikultura.,,prediksi harga tanaman holtikultura menggunakan metode random forest pada umkm lokal,0
Clustering Persebaran UMKM Menggunakan Metode DBSCAN di Kabupaten Kolaka Timur,"Penelitian ini bertujuan untuk melakukan clustering persebaran umkm dengan menggunakan metode DBSCAN. Studi kasus dilakukan di Kabupaten Kolaka Timur. Metode DBSCAN dipilih karena mampu memberikan performa yang baik dalam menangani data berukuran besar dan kompleks. Tahapan penelitian meliputi pengumpulan data, pembersihan data, pemodelan, pengujian, dan evaluasi. Hasil pengujian menunjukkan bahwa metode DBSCAN memberikan akurasi dan efisiensi yang memadai untuk clustering persebaran umkm.",2016,94,penelitian ini bertujuan untuk melakukan clustering persebaran umkm dengan menggunakan metode dbscan. studi kasus dilakukan di kabupaten kolaka timur. metode dbscan dipilih karena mampu memberikan performa yang baik dalam menangani data berukuran besar dan kompleks. tahapan penelitian meliputi pengumpulan data pembersihan data pemodelan pengujian dan evaluasi. hasil pengujian menunjukkan bahwa metode dbscan memberikan akurasi dan efisiensi yang memadai untuk clustering persebaran umkm.,,clustering persebaran umkm menggunakan metode dbscan di kabupaten kolaka timur,4
Deteksi Dini Penyakit Pada Sapi Menggunakan Metode LSTM berbasis Android,"Penelitian ini bertujuan untuk melakukan deteksi dini penyakit pada sapi dengan menggunakan metode LSTM. Studi kasus dilakukan berbasis Android. Metode LSTM dipilih karena mampu memberikan performa yang baik dalam menangani data berukuran besar dan kompleks. Tahapan penelitian meliputi pengumpulan data, pembersihan data, pemodelan, pengujian, dan evaluasi. Hasil pengujian menunjukkan bahwa metode LSTM memberikan akurasi dan efisiensi yang memadai untuk deteksi dini penyakit pada sapi.",2017,95,penelitian ini bertujuan untuk melakukan deteksi dini penyakit pada sapi dengan menggunakan metode lstm. studi kasus dilakukan berbasis android. metode lstm dipilih karena mampu memberikan performa yang baik dalam menangani data berukuran besar dan kompleks. tahapan penelitian meliputi pengumpulan data pembersihan data pemodelan pengujian dan evaluasi. hasil pengujian menunjukkan bahwa metode lstm memberikan akurasi dan efisiensi yang memadai untuk deteksi dini penyakit pada sapi.,lstm,deteksi dini penyakit pada sapi menggunakan metode lstm berbasis android,0
Rancang Bangun Aplikasi Monitoring IoT Menggunakan Metode Naive Bayes pada Dataset Kesehatan Nasional,"Penelitian ini bertujuan untuk melakukan rancang bangun aplikasi monitoring iot dengan menggunakan metode Naive Bayes. Studi kasus dilakukan pada Dataset Kesehatan Nasional. Metode Naive Bayes dipilih karena mampu memberikan performa yang baik dalam menangani data berukuran besar dan kompleks. Tahapan penelitian meliputi pengumpulan data, pembersihan data, pemodelan, pengujian, dan evaluasi. Hasil pengujian menunjukkan bahwa metode Naive Bayes memberikan akurasi dan efisiensi yang memadai untuk rancang bangun aplikasi monitoring iot.",2015,96,penelitian ini bertujuan untuk melakukan rancang bangun aplikasi monitoring iot dengan menggunakan metode naive bayes. studi kasus dilakukan pada dataset kesehatan nasional. metode naive bayes dipilih karena mampu memberikan performa yang baik dalam menangani data berukuran besar dan kompleks. tahapan penelitian meliputi pengumpulan data pembersihan data pemodelan pengujian dan evaluasi. hasil pengujian menunjukkan bahwa metode naive bayes memberikan akurasi dan efisiensi yang memadai untuk rancang bangun aplikasi monitoring iot.,naive bayes,rancang bangun aplikasi monitoring iot menggunakan metode naive bayes pada dataset kesehatan nasional,1
Identifikasi Tanaman Pangan Menggunakan Metode Transformer di Kabupaten Kolaka Timur,"Penelitian ini bertujuan untuk melakukan identifikasi tanaman pangan dengan menggunakan metode Transformer. Studi kasus dilakukan di Kabupaten Kolaka Timur. Metode Transformer dipilih karena mampu memberikan performa yang baik dalam menangani data berukuran besar dan kompleks. Tahapan penelitian meliputi pengumpulan data, pembersihan data, pemodelan, pengujian, dan evaluasi. Hasil pengujian menunjukkan bahwa metode Transformer memberikan akurasi dan efisiensi yang memadai untuk identifikasi tanaman pangan.",2019,97,penelitian ini bertujuan untuk melakukan identifikasi tanaman pangan dengan menggunakan metode transformer. studi kasus dilakukan di kabupaten kolaka timur. metode transformer dipilih karena mampu memberikan performa yang baik dalam menangani data berukuran besar dan kompleks. tahapan penelitian meliputi pengumpulan data pembersihan data pemodelan pengujian dan evaluasi. hasil pengujian menunjukkan bahwa metode transformer memberikan akurasi dan efisiensi yang memadai untuk identifikasi tanaman pangan.,transformer,identifikasi tanaman pangan menggunakan metode transformer di kabupaten kolaka timur,4
Clusterisasi Data Wisatawan Menggunakan Metode K-Means di Lingkungan Pemerintah Daerah,"Penelitian ini bertujuan untuk melakukan clusterisasi data wisatawan dengan menggunakan metode K-Means. Studi kasus dilakukan di Lingkungan Pemerintah Daerah. Metode K-Means dipilih karena mampu memberikan performa yang baik dalam menangani data berukuran besar dan kompleks. Tahapan penelitian meliputi pengumpulan data, pembersihan data, pemodelan, pengujian, dan evaluasi. Hasil pengujian menunjukkan bahwa metode K-Means memberikan akurasi dan efisiensi yang memadai untuk clusterisasi data wisatawan.",2021,98,penelitian ini bertujuan untuk melakukan clusterisasi data wisatawan dengan menggunakan metode k means. studi kasus dilakukan di lingkungan pemerintah daerah. metode k means dipilih karena mampu memberikan performa yang baik dalam menangani data berukuran besar dan kompleks. tahapan penelitian meliputi pengumpulan data pembersihan data pemodelan pengujian dan evaluasi. hasil pengujian menunjukkan bahwa metode k means memberikan akurasi dan efisiensi yang memadai untuk clusterisasi data wisatawan.,k-means,clusterisasi data wisatawan menggunakan metode k means di lingkungan pemerintah daerah,2
Rancang Bangun Sistem Informasi Akademik Menggunakan Metode YOLOv8 di Kabupaten Kolaka Timur,"Penelitian ini bertujuan untuk melakukan rancang bangun sistem informasi akademik dengan menggunakan metode YOLOv8. Studi kasus dilakukan di Kabupaten Kolaka Timur. Metode YOLOv8 dipilih karena mampu memberikan performa yang baik dalam menangani data berukuran besar dan kompleks. Tahapan penelitian meliputi pengumpulan data, pembersihan data, pemodelan, pengujian, dan evaluasi. Hasil pengujian menunjukkan bahwa metode YOLOv8 memberikan akurasi dan efisiensi yang memadai untuk rancang bangun sistem informasi akademik.",2023,99,penelitian ini bertujuan untuk melakukan rancang bangun sistem informasi akademik dengan menggunakan metode yolov8. studi kasus dilakukan di kabupaten kolaka timur. metode yolov8 dipilih karena mampu memberikan performa yang baik dalam menangani data berukuran besar dan kompleks. tahapan penelitian meliputi pengumpulan data pembersihan data pemodelan pengujian dan evaluasi. hasil pengujian menunjukkan bahwa metode yolov8 memberikan akurasi dan efisiensi yang memadai untuk rancang bangun sistem informasi akademik.,yolov8,rancang bangun sistem informasi akademik menggunakan metode yolov8 di kabupaten kolaka timur,1
